company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
110,170,22,0.041427023422522295,0.05,2023-03-06,1,1,0.0017227235438884332
1453,126,21,0.03934316912561473,0.08,2023-03-06,1,56,0.004306808859721083
57,76,26,0.03309160623489205,0.25791719543147207,2023-03-06,5,36,0.00013125512715340444
1710,117,7,0.009752438109527382,0.25791719543147207,2023-03-06,15,22,0.005176374077112388
943,157,24,0.02809035592231391,0.15,2023-03-03,15,5,0.006464315012305169
531,148,30,0.018921397015920646,0.7,2023-03-03,1,56,0.0026004922067268256
909,170,24,0.008085354672001334,0.25791719543147207,2023-03-03,15,1,0.0004840032813781789
1715,148,20,0.005001250312578144,0.25791719543147207,2023-03-03,0,56,0.001246923707957342
42,148,10,0.002250562640660165,0.25791719543147207,2023-03-03,1,56,0.052502050861361775
20,159,15,0.006418271234475285,0.25791719543147207,2023-03-03,1,56,0.003757178014766202
790,24,22,0.006418271234475285,0.25791719543147207,2023-03-03,9,57,0.009844134536505332
1870,148,28,0.014503625906476619,0.03,2023-03-02,1,56,0.001214109926168991
989,148,7,0.006334917062598982,0.25791719543147207,2023-03-02,8,56,0.0037817883511074655
66,21,12,0.003917646078186213,0.25791719543147207,2023-03-02,0,5,0.0012838392124692372
587,143,11,0.002250562640660165,0.11,2023-03-02,4,22,0.0001066447908121411
258,148,21,0.0007501875468867216,0.1,2023-03-02,0,56,0.00016406890894175554
594,17,26,0.006418271234475285,0.25791719543147207,2023-03-02,0,22,0.10582444626743233
844,99,2,0.006418271234475285,1.0,2023-03-02,0,56,0.0012838392124692372
1665,23,18,0.006418271234475285,0.25791719543147207,2023-03-02,0,56,0.0012838392124692372
1621,40,22,0.041427023422522295,0.04,2023-03-01,1,56,0.006136177194421657
1886,157,12,0.029340668500458446,0.06,2023-03-01,14,5,0.017227235438884332
380,148,15,0.024756189047261814,0.25791719543147207,2023-03-01,8,56,0.003954060705496309
1778,148,30,0.017170959406518298,0.08,2023-03-01,14,56,0.045118949958982774
1191,134,13,0.016420771859631575,0.2,2023-03-01,8,16,0.00406070549630845
1830,148,29,0.016420771859631575,0.25791719543147207,2023-03-01,6,56,0.0008367514356029533
1485,148,31,0.008085354672001334,0.14,2023-03-01,1,56,0.006882690730106646
1276,159,3,0.006418271234475285,0.5,2023-03-01,4,56,0.0005742411812961444
522,12,2,0.016420771859631575,0.25791719543147207,2023-02-28,1,56,1.6406890894175555e-05
550,148,2,0.006418271234475285,0.08,2023-02-28,1,56,0.004569319114027892
437,17,7,0.006418271234475285,1.0,2023-02-28,15,22,0.0012838392124692372
1013,99,10,0.006418271234475285,0.09,2023-02-28,1,56,0.003978671041837572
1487,118,30,0.024756189047261814,0.25791719543147207,2023-02-27,1,17,0.00103363412633306
308,148,15,0.023505876469117278,0.15,2023-02-27,6,56,0.003789991796554553
70,40,10,0.010585979828290406,0.25,2023-02-27,15,56,0.002321575061525841
1177,50,6,0.006001500375093773,0.02,2023-02-27,1,57,0.024610336341263334
1158,159,27,0.005584729515712261,0.07,2023-02-27,10,56,0.004011484823625924
1539,148,28,0.0013336667500208387,0.25,2023-02-27,5,56,0.00103363412633306
176,173,28,0.003084104359423189,0.25791719543147207,2023-02-26,15,25,0.0032895816242821986
1685,148,2,0.016420771859631575,0.1,2023-02-25,1,56,0.10582444626743233
542,169,22,0.7082603984329415,0.08,2023-02-24,1,50,0.0054388843314191965
1376,17,22,0.024756189047261814,0.25791719543147207,2023-02-24,14,22,0.010664479081214111
1731,148,30,0.01808785529715762,0.25791719543147207,2023-02-24,0,56,0.004716981132075472
998,148,29,0.004667833625072935,0.25791719543147207,2023-02-24,0,56,0.0026661197703035278
508,148,12,0.003084104359423189,0.25791719543147207,2023-02-24,15,56,0.0038146021328958166
956,148,15,0.001917145953154955,0.25791719543147207,2023-02-24,1,56,0.0010828547990155866
1516,130,10,0.0017504376094023503,0.25791719543147207,2023-02-24,7,56,0.0021575061525840856
1260,148,26,0.006418271234475285,0.02,2023-02-24,0,56,0.00125512715340443
1011,4,15,0.016420771859631575,0.1,2023-02-23,0,56,0.0012838392124692372
1131,18,20,0.012253063265816454,0.32,2023-02-23,7,17,0.0036259228876127977
1604,170,26,0.005501375343835958,0.06,2023-02-23,15,1,0.0012838392124692372
504,99,30,0.003084104359423189,0.25791719543147207,2023-02-23,1,56,0.003281378178835111
1534,148,16,0.003084104359423189,0.25791719543147207,2023-02-23,5,56,0.000623461853978671
443,179,3,0.006418271234475285,0.2,2023-02-23,7,56,0.004979491386382281
1015,126,3,0.006418271234475285,0.15,2023-02-23,5,56,0.0005004101722723544
1748,184,15,0.006418271234475285,0.13,2023-02-23,15,56,0.0012838392124692372
1561,98,21,0.016420771859631575,0.12,2023-02-22,15,55,0.0012838392124692372
1582,151,29,0.015253813453363341,0.25791719543147207,2023-02-22,1,56,0.00228876127973749
92,167,15,0.006418271234475285,0.25791719543147207,2023-02-22,6,56,0.0012715340442986055
780,170,3,0.006418271234475285,0.11,2023-02-22,6,1,0.00228876127973749
832,24,15,0.006418271234475285,0.57,2023-02-22,0,56,0.0015914684167350288
942,138,30,0.006418271234475285,1.0,2023-02-22,3,56,0.00046759639048400334
1257,17,3,0.008085354672001334,0.2,2023-02-21,15,22,0.0036997538966365875
413,175,21,0.006835042093856797,0.25791719543147207,2023-02-21,15,27,0.0002132895816242822
548,148,10,0.003917646078186213,0.25791719543147207,2023-02-21,7,56,0.003330598851517638
202,90,30,0.0011669584062682335,0.25791719543147207,2023-02-21,9,36,0.0012838392124692372
409,134,20,0.006418271234475285,0.25791719543147207,2023-02-21,1,16,0.0005004101722723544
691,161,12,0.006418271234475285,0.25791719543147207,2023-02-21,6,48,0.0017555373256767843
1203,99,24,0.006418271234475285,0.25791719543147207,2023-02-21,6,56,0.000992616899097621
1839,18,26,0.006418271234475285,0.25791719543147207,2023-02-21,1,17,0.003831009023789992
1060,17,22,0.016420771859631575,0.3,2023-02-20,5,22,0.0006480721903199344
581,126,3,0.002250562640660165,0.05,2023-02-20,8,56,0.008203445447087777
860,170,22,0.00041677085938151203,0.28,2023-02-20,3,1,8.203445447087777e-05
579,39,12,0.006418271234475285,1.0,2023-02-20,4,56,7.383100902379e-05
705,173,14,0.008085354672001334,0.25791719543147207,2023-02-19,1,25,0.034454470877768664
1594,163,2,0.024756189047261814,0.25791719543147207,2023-02-17,1,9,0.10336341263330599
553,148,2,0.010502625656414103,0.25791719543147207,2023-02-17,0,56,0.0023789991796554556
323,148,10,0.008085354672001334,0.33,2023-02-17,6,56,0.002477440525020509
471,139,22,0.006418271234475285,0.25791719543147207,2023-02-17,1,56,0.0008613617719442166
1342,148,3,0.006418271234475285,0.25791719543147207,2023-02-17,15,56,0.0012838392124692372
481,148,27,0.05643077436025672,0.1,2023-02-16,1,56,0.004397046759639049
1228,148,22,0.03309160623489205,0.2,2023-02-16,0,56,0.0005086136177194422
1610,148,26,0.018921397015920646,0.07,2023-02-16,1,56,0.002920426579163249
1469,159,22,0.006835042093856797,0.03,2023-02-16,1,56,0.001246923707957342
396,6,18,0.006418271234475285,0.25791719543147207,2023-02-16,8,56,0.009023789991796555
1803,173,20,0.03059098107860298,0.06,2023-02-15,1,25,0.0004757998359310911
1420,99,27,0.018171209469033923,0.08,2023-02-15,10,56,0.009023789991796555
1080,157,10,0.0172543135783946,0.09,2023-02-15,7,5,0.0059064807219032
826,134,21,0.017087605234641992,0.25791719543147207,2023-02-15,6,16,0.0001804757998359311
474,126,16,0.016420771859631575,0.11,2023-02-15,1,56,0.004027891714520099
1506,126,29,0.008085354672001334,0.04,2023-02-15,1,56,0.0035192780968006567
161,126,10,0.00208385429690756,0.25791719543147207,2023-02-15,9,56,0.003568498769483183
478,148,24,0.006418271234475285,0.25791719543147207,2023-02-15,5,56,0.0014766201804758
1023,170,12,0.006418271234475285,0.2,2023-02-15,4,1,0.0007054963084495489
1042,148,20,0.006418271234475285,0.14,2023-02-15,1,56,0.009023789991796555
1115,148,29,0.006418271234475285,0.25791719543147207,2023-02-15,6,56,0.0017555373256767843
1331,99,21,0.006418271234475285,0.25791719543147207,2023-02-15,5,56,0.00051681706316653
1572,23,22,0.006418271234475285,0.15,2023-02-15,6,56,0.001214109926168991
1749,24,15,0.006418271234475285,0.14,2023-02-15,1,56,0.0015176374077112388
383,2,26,0.030674335250479287,0.31,2023-02-14,0,56,0.0012838392124692372
706,148,13,0.006418271234475285,0.08,2023-02-14,5,56,9.023789991796556e-05
1223,17,15,0.006418271234475285,0.7,2023-02-14,5,22,0.00032813781788351107
1695,148,7,0.006418271234475285,0.1,2023-02-14,1,56,0.0025512715340442987
1682,148,22,0.12478119529882468,0.17,2023-02-13,1,57,0.005036915504511895
521,126,22,0.011502875718929733,0.25,2023-02-13,7,56,0.0017391304347826088
503,126,20,0.008085354672001334,1.0,2023-02-13,15,56,0.0012838392124692372
1221,157,26,0.007585229640743519,0.25791719543147207,2023-02-13,6,5,0.00184577522559475
1888,24,2,0.006835042093856797,0.07,2023-02-13,0,56,0.00024610336341263333
378,148,15,0.0042510627656914225,0.25791719543147207,2023-02-13,9,56,0.005898277276456112
974,148,3,0.0015837292656497456,0.25791719543147207,2023-02-13,5,56,0.0013945857260049222
297,110,24,0.006418271234475285,0.3,2023-02-13,15,26,0.005808039376538146
608,164,12,0.006418271234475285,0.25791719543147207,2023-02-13,0,46,0.006144380639868745
652,98,12,0.006418271234475285,0.25791719543147207,2023-02-13,8,55,0.014766201804758
931,148,13,0.006418271234475285,0.25791719543147207,2023-02-13,0,56,0.0012633305988515176
1041,80,30,0.02975743935983996,0.11,2023-02-12,5,23,0.0011320754716981133
1659,126,20,0.008085354672001334,0.2,2023-02-10,0,56,0.00013125512715340444
1631,117,2,0.003084104359423189,0.25791719543147207,2023-02-10,0,22,0.0771123872026251
1137,157,10,0.006418271234475285,0.25791719543147207,2023-02-10,7,5,0.0011484823625922888
1352,148,14,0.006418271234475285,0.28,2023-02-10,1,56,0.0024446267432321578
1828,148,2,0.13311661248645495,0.2,2023-02-09,0,56,4.9220672682526665e-05
1030,136,12,0.05384679503209135,0.33,2023-02-09,6,56,0.004315012305168171
461,98,12,0.028923897641076935,0.09,2023-02-09,1,55,0.013945857260049222
1126,43,15,0.01767108443777611,0.35,2023-02-09,11,56,0.007022149302707137
1145,148,10,0.012669834125197966,0.1,2023-02-09,1,56,0.004643150123051682
655,148,23,0.010585979828290406,0.07,2023-02-09,1,56,0.003388022969647252
145,126,26,0.010252563140785197,0.12,2023-02-09,1,56,0.0012838392124692372
1096,126,15,0.00966908393765108,0.17,2023-02-09,15,56,0.0017883511074651354
1738,171,28,0.005251312828207052,0.12,2023-02-09,6,14,0.0015750615258408533
1305,173,30,0.002333916812536467,0.11,2023-02-09,1,25,0.0026004922067268256
654,148,23,0.006418271234475285,0.1,2023-02-09,0,56,0.002871205906480722
1300,167,21,0.006418271234475285,0.25791719543147207,2023-02-09,15,56,0.0012838392124692372
1783,17,3,0.006418271234475285,1.0,2023-02-09,15,22,0.0012838392124692372
668,137,20,0.04392764857881137,0.08,2023-02-08,1,56,0.006562756357670222
36,148,10,0.041427023422522295,0.19,2023-02-08,1,56,0.012305168170631667
702,148,13,0.010252563140785197,0.05,2023-02-08,8,56,0.006119770303527482
679,148,27,0.006418271234475285,0.07,2023-02-08,8,56,0.004782608695652175
148,43,15,0.002333916812536467,0.08,2023-02-08,8,56,0.0013781788351107467
541,148,10,0.0017504376094023503,0.25,2023-02-08,5,56,0.0006972928630024611
144,170,30,0.006418271234475285,0.75,2023-02-08,15,1,0.00051681706316653
871,176,10,0.006418271234475285,0.14,2023-02-08,7,7,0.0022805578342904023
1002,126,15,0.006418271234475285,1.0,2023-02-08,6,56,0.0008203445447087777
1079,170,1,0.006418271234475285,0.2,2023-02-08,0,1,0.00012305168170631667
1866,148,22,0.10811036092356421,0.15,2023-02-07,1,56,0.0022641509433962265
1881,148,26,0.041427023422522295,0.04,2023-02-07,1,56,0.009844134536505332
1409,6,28,0.017421021922147204,0.09,2023-02-07,1,56,0.0006808859721082856
1389,6,27,0.008085354672001334,0.1,2023-02-07,0,56,0.0020098441345365054
1144,107,10,0.0066683337501041925,1.0,2023-02-07,1,1,0.0024528301886792454
904,54,7,0.0020005001250312576,0.09,2023-02-07,2,24,0.00045939294503691557
